calc log timestamp   x1       y1       reference log timestamp   x2    y2     error( sqrt( (x1-x2)^2 + (y1-y2)^2 ))
1461761412639.00000  6.59870  6.52190  1461761412639.00000  4.31130  6.56298  2.28777
1461761413139.00000  6.69670  6.49260  1461761413139.00000  4.92329  6.54247  1.77411
1461761413639.00000  6.96900  6.49170  1461761413639.00000  5.55367  6.53498  1.41599
1461761414139.00000  7.49430  6.48990  1461761414139.00000  6.17369  6.53229  1.32129
1461761414639.00000  8.08790  6.48860  1461761414639.00000  6.76867  6.51780  1.31956
1461761415139.00000  8.72860  6.48630  1461761415139.00000  7.41990  6.50728  1.30887
1461761415639.00000  9.28380  6.47940  1461761415639.00000  7.98886  6.49003  1.29498
1461761416139.00000  9.88320  6.48230  1461761416139.00000  8.59593  6.49000  1.28729
1461761416639.00000  10.58290  6.45640  1461761416639.00000  9.26096  6.46467  1.32196
1461761417139.00000  11.20080  6.47090  1461761417139.00000  9.92091  6.47552  1.27990
1461761417639.00000  11.78370  6.47660  1461761417639.00000  10.54395  6.48000  1.23976
1461761418139.00000  12.34830  6.48780  1461761418139.00000  11.16652  6.48000  1.18181
1461761418639.00000  12.75950  6.49740  1461761418639.00000  11.80094  6.46561  0.95908
1461761419139.00000  13.18510  6.50700  1461761419139.00000  12.41185  6.45365  0.77509
1461761419639.00000  13.69590  6.51580  1461761419639.00000  12.99765  6.45559  0.70084
1461761420139.00000  14.25730  6.50670  1461761420139.00000  13.60295  6.43078  0.65874
1461761420639.00000  14.75870  6.45930  1461761420639.00000  14.12795  6.37245  0.63670
1461761421139.00000  15.08460  6.20830  1461761421139.00000  14.53320  6.10655  0.56071
1461761421639.00000  15.42060  5.91070  1461761421639.00000  14.97455  5.82179  0.45483
1461761422139.00000  15.87590  5.64000  1461761422139.00000  15.49767  5.56267  0.38606
1461761422639.00000  16.36860  5.59010  1461761422639.00000  16.02425  5.50391  0.35497
1461761423139.00000  16.74840  5.79510  1461761423139.00000  16.40822  5.73716  0.34508
1461761423639.00000  17.23850  5.99070  1461761423639.00000  16.89621  5.94056  0.34594
1461761424139.00000  17.71200  5.99020  1461761424139.00000  17.36050  5.94770  0.35406
1461761424639.00000  18.17420  5.84510  1461761424639.00000  17.81873  5.78050  0.36129
1461761425139.00000  18.73710  5.57580  1461761425139.00000  18.36617  5.39617  0.41214
1461761425639.00000  19.35350  5.28720  1461761425639.00000  18.89603  4.78974  0.67583
1461761426139.00000  19.92930  4.75490  1461761426139.00000  19.28370  4.04298  0.96106
1461761426639.00000  20.32780  4.11880  1461761426639.00000  19.48700  3.33150  1.15186
1461761427219.00000  20.27360  3.59650  1461761427219.00000  19.28919  2.81198  1.25878
1461761427719.00000  20.19240  3.12090  1461761427719.00000  19.00471  2.33784  1.42260
1461761428219.00000  20.21280  2.64900  1461761428219.00000  18.86025  1.85472  1.56853
1461761429139.00000  20.64790  2.80000  1461761429139.00000  19.34839  1.93071  1.56346
1461761429639.00000  20.66750  3.14560  1461761429639.00000  19.44124  2.28786  1.49647
1461761430139.00000  20.62700  3.52640  1461761430139.00000  19.48625  2.68025  1.42031
1461761430639.00000  20.57500  3.92440  1461761430639.00000  19.52438  3.09222  1.34027
1461761431139.00000  20.52660  4.34260  1461761431139.00000  19.56263  3.52056  1.26688
1461761431639.00000  20.40600  4.63070  1461761431639.00000  19.50013  3.86431  1.18657
1461761432139.00000  20.19620  4.88140  1461761432139.00000  19.31323  4.18187  1.12648
1461761432639.00000  19.84340  5.11570  1461761432639.00000  19.00145  4.42230  1.09073
1461761433139.00000  19.39270  5.26880  1461761433139.00000  18.61016  4.59314  1.03387
1461761433639.00000  18.95530  5.35050  1461761433639.00000  18.21167  4.73605  0.96464
1461761434199.00000  18.40220  5.34840  1461761434199.00000  17.65977  4.82306  0.90949
1461761434699.00000  17.89030  5.36110  1461761434699.00000  17.12752  4.90371  0.88941
1461761435199.00000  17.23340  5.38630  1461761435199.00000  16.44288  4.97700  0.89020
1461761435699.00000  16.57290  5.48020  1461761435699.00000  15.78368  5.13868  0.85994
1461761436199.00000  15.95200  5.59490  1461761436199.00000  15.17322  5.33481  0.82106
1461761436699.00000  15.36430  5.73380  1461761436699.00000  14.59905  5.55340  0.78623
1461761437199.00000  14.78780  5.99660  1461761437199.00000  14.07752  5.92366  0.71402
1461761437699.00000  15.12860  6.33380  1461761437699.00000  14.53845  6.28303  0.59233
1461761438199.00000  15.51300  6.51920  1461761438199.00000  15.01817  6.46204  0.49812
1461761438699.00000  15.98240  6.66130  1461761438699.00000  15.54076  6.54577  0.45650
1461761439199.00000  16.55300  6.73180  1461761439199.00000  16.12661  6.54858  0.46409
1461761439699.00000  17.13550  6.71340  1461761439699.00000  16.69113  6.45181  0.51565
1461761440199.00000  17.77230  6.70740  1461761440199.00000  17.30091  6.37729  0.57549
1461761440699.00000  18.38300  6.67950  1461761440699.00000  17.88515  6.30385  0.62367
1461761441199.00000  19.02310  6.68290  1461761441199.00000  18.49061  6.28000  0.66774
1461761441699.00000  19.51410  6.84200  1461761441699.00000  18.98624  6.40751  0.68368
1461761442199.00000  19.79790  7.12240  1461761442199.00000  19.35738  6.65712  0.64074
1461761442699.00000  19.88630  7.55530  1461761442699.00000  19.58573  7.03310  0.60252
1461761443199.00000  19.82410  8.14010  1461761443199.00000  19.71907  7.48310  0.66534
1461761443699.00000  19.73910  8.86350  1461761443699.00000  19.82180  8.13200  0.73616
1461761444199.00000  19.67180  9.47470  1461761444199.00000  19.87895  8.72532  0.77748
1461761444699.00000  19.58920  10.08250  1461761444699.00000  19.90460  9.34633  0.80089
1461761445199.00000  19.51720  10.69970  1461761445199.00000  19.92060  9.99139  0.81513
1461761445699.00000  19.46920  11.27240  1461761445699.00000  19.95815  10.57395  0.85259
1461761446199.00000  19.51370  11.78500  1461761446199.00000  20.04982  11.09895  0.87068
1461761446699.00000  19.72280  12.38070  1461761446699.00000  20.47507  11.62672  1.06508
1461761447199.00000  20.01190  12.82980  1461761447199.00000  20.97640  12.01055  1.26548
1461761447699.00000  20.51960  13.07920  1461761447699.00000  21.52576  12.15922  1.36335
1461761448199.00000  21.08950  13.01750  1461761448199.00000  22.02258  12.04645  1.34669
1461761448699.00000  21.78400  12.53150  1461761448699.00000  22.39562  11.73298  1.00583
1461761449199.00000  22.29340  11.83100  1461761449199.00000  22.58337  11.23916  0.65906
1461761449699.00000  22.46080  11.28440  1461761449699.00000  22.67208  10.69077  0.63010
1461761450199.00000  22.50160  10.69760  1461761450199.00000  22.64872  10.09157  0.62363
1461761450699.00000  22.51450  10.09650  1461761450699.00000  22.59810  9.50315  0.59921
1461761451199.00000  22.49660  9.51820  1461761451199.00000  22.53821  8.94334  0.57637
1461761451699.00000  22.45750  8.96840  1461761451699.00000  22.44647  8.40781  0.56070
1461761452199.00000  22.38950  8.45860  1461761452199.00000  22.27711  7.89168  0.57796
1461761453019.00000  22.08070  8.36860  1461761453019.00000  21.74800  7.75850  0.69492
1461761453519.00000  22.05010  8.55500  1461761453519.00000  21.57153  7.92026  0.79493
1461761454019.00000  22.10820  9.04340  1461761454019.00000  21.64977  8.40561  0.78545
1461761454519.00000  22.13930  9.68120  1461761454519.00000  21.79450  9.05400  0.71573
1461761455019.00000  22.19200  10.40460  1461761455019.00000  21.96395  9.78146  0.66356
1461761455519.00000  22.22470  11.07380  1461761455519.00000  22.08939  10.46729  0.62142
1461761456019.00000  22.11980  11.62260  1461761456019.00000  22.02416  11.10083  0.53047
1461761456519.00000  21.93040  12.00290  1461761456519.00000  21.82103  11.62427  0.39411
1461761457319.00000  21.13590  12.20910  1461761457319.00000  21.08859  12.03511  0.18031
1461761457819.00000  20.50250  11.83660  1461761457819.00000  20.53915  11.96762  0.13605
