calc log timestamp   x1       y1       reference log timestamp   x2    y2     error( sqrt( (x1-x2)^2 + (y1-y2)^2 ))
1461761409639.00000  5.46030  6.18660  1461761409639.00000  1.10928  6.65996  4.37669
1461761410139.00000  5.47270  6.19200  1461761410139.00000  1.46904  6.67826  4.03308
1461761410639.00000  5.50760  6.20820  1461761410639.00000  1.90787  6.67268  3.62957
1461761411139.00000  5.54680  6.22320  1461761411139.00000  2.49270  6.62789  3.08080
1461761411639.00000  5.56980  6.23360  1461761411639.00000  3.10877  6.61004  2.48966
1461761412139.00000  5.59030  6.24280  1461761412139.00000  3.68144  6.57781  1.93804
1461761412639.00000  5.62620  6.25760  1461761412639.00000  4.31130  6.56298  1.34990
1461761413139.00000  5.65750  6.27070  1461761413139.00000  4.92329  6.54247  0.78289
1461761413639.00000  5.67940  6.28230  1461761413639.00000  5.55367  6.53498  0.28223
1461761414139.00000  5.70660  6.29320  1461761414139.00000  6.17369  6.53229  0.52473
1461761414639.00000  5.73090  6.30210  1461761414639.00000  6.76867  6.51780  1.05995
1461761415139.00000  5.75430  6.31450  1461761415139.00000  7.41990  6.50728  1.67672
1461761415639.00000  5.79370  6.32000  1461761415639.00000  7.98886  6.49003  2.20174
1461761416139.00000  5.83270  6.32560  1461761416139.00000  8.59593  6.49000  2.76811
1461761416639.00000  5.79140  6.43850  1461761416639.00000  9.26096  6.46467  3.46966
1461761417139.00000  5.84040  6.44150  1461761417139.00000  9.92091  6.47552  4.08065
1461761417639.00000  5.89090  6.44240  1461761417639.00000  10.54395  6.48000  4.65320
1461761418139.00000  5.91250  6.46190  1461761418139.00000  11.16652  6.48000  5.25405
1461761418639.00000  6.04200  6.46260  1461761418639.00000  11.80094  6.46561  5.75895
1461761419139.00000  6.18030  6.46310  1461761419139.00000  12.41185  6.45365  6.23156
1461761419639.00000  6.21340  6.48080  1461761419639.00000  12.99765  6.45559  6.78429
1461761420139.00000  7.01040  6.49630  1461761420139.00000  13.60295  6.43078  6.59288
1461761420639.00000  7.82530  6.50460  1461761420639.00000  14.12795  6.37245  6.30404
1461761421139.00000  7.90910  6.47110  1461761421139.00000  14.53320  6.10655  6.63412
1461761421639.00000  9.56170  6.45920  1461761421639.00000  14.97455  5.82179  5.45025
1461761422139.00000  11.14760  6.42620  1461761422139.00000  15.49767  5.56267  4.43495
1461761422639.00000  11.36860  6.43700  1461761422639.00000  16.02425  5.50391  4.74824
1461761423139.00000  13.01780  6.64600  1461761423139.00000  16.40822  5.73716  3.51012
1461761423639.00000  14.60820  6.57940  1461761423639.00000  16.89621  5.94056  2.37553
1461761424139.00000  14.90740  6.62420  1461761424139.00000  17.36050  5.94770  2.54467
1461761424639.00000  15.21180  6.56100  1461761424639.00000  17.81873  5.78050  2.72126
1461761425139.00000  16.84330  6.28390  1461761425139.00000  18.36617  5.39617  1.76272
1461761425639.00000  18.17910  5.89390  1461761425639.00000  18.89603  4.78974  1.31650
1461761426139.00000  18.55880  5.36530  1461761426139.00000  19.28370  4.04298  1.50798
1461761426639.00000  19.37490  4.66810  1461761426639.00000  19.48700  3.33150  1.34129
1461761427219.00000  19.66070  4.15380  1461761427219.00000  19.28919  2.81198  1.39230
1461761427719.00000  19.48560  3.72460  1461761427719.00000  19.00471  2.33784  1.46777
1461761428219.00000  19.71450  3.35740  1461761428219.00000  18.86025  1.85472  1.72852
1461761429139.00000  20.12090  3.48770  1461761429139.00000  19.34839  1.93071  1.73810
1461761429639.00000  20.35070  3.68590  1461761429639.00000  19.44124  2.28786  1.66782
1461761430139.00000  20.46700  3.91070  1461761430139.00000  19.48625  2.68025  1.57349
1461761430639.00000  20.44480  4.27810  1461761430639.00000  19.52438  3.09222  1.50116
1461761431139.00000  20.49690  4.49800  1461761431139.00000  19.56263  3.52056  1.35213
1461761431639.00000  20.44610  4.63550  1461761431639.00000  19.50013  3.86431  1.22049
1461761432139.00000  20.25220  4.90580  1461761432139.00000  19.31323  4.18187  1.18563
1461761432639.00000  19.99800  4.96790  1461761432639.00000  19.00145  4.42230  1.13613
1461761433139.00000  19.69090  5.06420  1461761433139.00000  18.61016  4.59314  1.17894
1461761433639.00000  19.30810  5.15070  1461761433639.00000  18.21167  4.73605  1.17221
1461761434199.00000  18.84980  5.24890  1461761434199.00000  17.65977  4.82306  1.26392
1461761434699.00000  18.41910  5.32910  1461761434699.00000  17.12752  4.90371  1.35983
1461761435199.00000  17.79090  5.31720  1461761435199.00000  16.44288  4.97700  1.39029
1461761435699.00000  17.17510  5.38780  1461761435699.00000  15.78368  5.13868  1.41354
1461761436199.00000  16.66640  5.54140  1461761436199.00000  15.17322  5.33481  1.50740
1461761436699.00000  16.19260  5.70620  1461761436699.00000  14.59905  5.55340  1.60086
1461761437199.00000  15.68430  5.98200  1461761437199.00000  14.07752  5.92366  1.60784
1461761437699.00000  16.10060  6.28630  1461761437699.00000  14.53845  6.28303  1.56215
1461761438199.00000  16.55110  6.42730  1461761438199.00000  15.01817  6.46204  1.53332
1461761438699.00000  17.01080  6.56730  1461761438699.00000  15.54076  6.54577  1.47020
1461761439199.00000  17.55700  6.69090  1461761439199.00000  16.12661  6.54858  1.43745
1461761439699.00000  18.08780  6.71590  1461761439699.00000  16.69113  6.45181  1.42142
1461761440199.00000  18.65740  6.72110  1461761440199.00000  17.30091  6.37729  1.39938
1461761440699.00000  19.22730  6.74400  1461761440699.00000  17.88515  6.30385  1.41248
1461761441199.00000  19.80250  6.81410  1461761441199.00000  18.49061  6.28000  1.41644
1461761441699.00000  20.23090  6.99610  1461761441699.00000  18.98624  6.40751  1.37682
1461761442199.00000  20.56260  7.29040  1461761442199.00000  19.35738  6.65712  1.36147
1461761442699.00000  20.75900  7.66150  1461761442699.00000  19.58573  7.03310  1.33096
1461761443199.00000  20.81730  8.08620  1461761443199.00000  19.71907  7.48310  1.25293
1461761443699.00000  20.85750  8.68240  1461761443699.00000  19.82180  8.13200  1.17287
1461761444199.00000  20.87290  9.19930  1461761444199.00000  19.87895  8.72532  1.10118
1461761444699.00000  20.82170  9.77080  1461761444699.00000  19.90460  9.34633  1.01057
1461761445199.00000  20.75490  10.35770  1461761445199.00000  19.92060  9.99139  0.91118
1461761445699.00000  20.75300  10.76960  1461761445699.00000  19.95815  10.57395  0.81858
1461761446199.00000  20.81980  11.11920  1461761446199.00000  20.04982  11.09895  0.77025
1461761446699.00000  21.15230  11.64390  1461761446699.00000  20.47507  11.62672  0.67744
1461761447199.00000  21.59260  11.92550  1461761447199.00000  20.97640  12.01055  0.62204
1461761447699.00000  22.10150  11.99620  1461761447699.00000  21.52576  12.15922  0.59838
1461761448199.00000  22.56780  11.94640  1461761448199.00000  22.02258  12.04645  0.55433
