calc log timestamp   x1       y1       reference log timestamp   x2    y2     error( sqrt( (x1-x2)^2 + (y1-y2)^2 ))
1461761411120.00000  5.62270  6.30000  1461761411119.00000  2.46805  6.62861  3.17172
1461761412688.00000  5.69980  6.30000  1461761412679.00000  4.36315  6.56224  1.36213
1461761414190.00000  5.68460  6.30000  1461761414199.00000  6.24240  6.53035  0.60350
1461761415650.00000  5.94990  6.30000  1461761415659.00000  8.01307  6.49000  2.07190
1461761417291.00000  6.19720  6.30000  1461761417299.00000  10.12774  6.48000  3.93466
1461761418850.00000  6.78150  6.30000  1461761418859.00000  12.08206  6.45339  5.30277
1461761420429.00000  11.14140  6.30000  1461761420419.00000  13.89695  6.39812  2.75730
1461761421986.00000  16.23970  6.30000  1461761421979.00000  15.30211  5.63378  1.15018
1461761423550.00000  17.91290  6.75390  1461761423559.00000  16.81982  5.92196  1.37366
1461761425141.00000  20.14130  5.80750  1461761425139.00000  18.36617  5.39617  1.82217
1461761426732.00000  19.05470  4.10780  1461761426739.00000  19.45367  3.24211  0.95321
1461761428392.00000  19.06750  4.08890  1461761428399.00000  18.81525  1.68034  2.42173
1461761429922.00000  19.08130  3.20990  1461761429919.00000  19.47178  2.50367  0.80699
1461761431493.00000  18.60990  3.17850  1461761431499.00000  19.51762  3.76806  1.08238
1461761433084.00000  19.04310  3.68060  1461761433079.00000  18.65703  4.57533  0.97447
1461761434622.00000  19.22890  6.28460  1461761434619.00000  17.21268  4.89081  2.45108
1461761436216.00000  19.04230  6.22730  1461761436219.00000  15.15012  5.34205  3.99158
1461761437798.00000  18.75120  4.36630  1461761437799.00000  14.63064  6.35491  4.57532
1461761439428.00000  17.25180  7.52930  1461761439419.00000  16.37500  6.50600  1.34756
1461761441016.00000  19.90570  6.85150  1461761441019.00000  18.26728  6.28000  1.73523
1461761442570.00000  21.23400  7.25860  1461761442579.00000  19.54059  6.93534  1.72399
1461761444154.00000  21.28770  8.16130  1461761444159.00000  19.87573  8.68016  1.50429
1461761445738.00000  20.28680  7.81040  1461761445739.00000  19.96548  10.61595  2.82389
1461761447264.00000  20.62800  8.93080  1461761447259.00000  21.03737  12.05506  3.15097
1461761448852.00000  21.83820  9.38280  1461761448859.00000  22.45695  11.57565  2.27847
1461761450412.00000  21.97250  10.82040  1461761450419.00000  22.62610  9.82515  1.19068
1461761452016.00000  22.96190  9.85910  1461761452019.00000  22.33808  8.07748  1.88767
1461761453666.00000  22.92610  10.03840  1461761453659.00000  21.56795  8.02379  2.42965
1461761455222.00000  23.36450  9.44060  1461761455219.00000  22.03180  10.06004  1.46962
1461761456814.00000  22.94170  9.98370  1461761456859.00000  21.54954  11.86657  2.34165
1461761458335.00000  22.41630  10.95400  1461761458339.00000  19.94115  11.82028  2.62237
1461761459899.00000  19.75240  10.75940  1461761459899.00000  17.83707  11.72180  2.14353
1461761461492.00000  19.63730  10.74690  1461761461499.00000  15.70632  11.76496  4.06067
1461761463077.00000  19.65400  10.85830  1461761463079.00000  13.67023  11.80000  6.05742
1461761464598.00000  16.14410  11.30000  1461761464599.00000  11.76574  11.70898  4.39742
1461761466169.00000  11.34960  11.30000  1461761466179.00000  9.67523  11.66000  1.71263
1461761467733.00000  11.25560  11.30000  1461761467739.00000  7.69806  11.66552  3.57627
1461761469394.00000  8.67000  11.30000  1461761469399.00000  5.54029  11.72688  3.15869
1461761471015.00000  6.19790  11.30000  1461761471019.00000  3.59616  11.78996  2.64747
1461761472537.00000  3.99330  10.88150  1461761472519.00000  2.28069  11.46040  1.80780
1461761474153.00000  2.57360  9.90850  1461761474159.00000  0.72903  9.59735  1.87063
1461761475783.00000  2.00920  8.77500  1461761475779.00000  0.65560  7.71100  1.72172

average error = 2.39207
